,Ticker,Price,Market Capitalization,Number Of Shares to Buy
0,MMM,147.41,83965321216,N/A
1,AOS,60.6,9359548416,N/A
2,ABT,109.25,191320784896,N/A
3,ABBV,138.04,244068515840,N/A
4,ABMD,291.5,13299920896,N/A
5,ACN,309.35,195835871232,N/A
6,ATVI,80.49,62967889920,N/A
7,ADM,82.76,46522212352,N/A
8,ADBE,433.43,202845241344,N/A
9,ADP,247.2,102715801600,N/A
10,AAP,193.42,11728950272,N/A
11,AES,24.22,16177361920,N/A
12,AFL,59.43,37709881344,N/A
13,A,133.61,40146063360,N/A
14,APD,262.64,58253295616,N/A
15,AKAM,96.28,15434164224,N/A
16,ALK,46.55,5900910592,N/A
17,ALB,237.99,27871723520,N/A
18,ARE,159.78,24760147968,N/A
19,ALGN,293.89,23174139904,N/A
20,ALLE,102.22,9168715776,N/A
21,LNT,61.28,15342120960,N/A
22,ALL,117.0,33541091328,N/A
23,GOOGL,117.47,77976707072,N/A
24,GOOG,118.22,78465335296,N/A
25,MO,44.1,81011253248,N/A
26,AMZN,140.8,71406436352,N/A
27,AMCR,12.27,18811998208,N/A
28,AMD,102.31,123550572544,N/A
29,AEE,91.3,23519428608,N/A
30,AAL,14.74,9544355840,N/A
31,AEP,99.46,49370951680,N/A
32,AXP,157.51,122000318464,N/A
33,AIG,51.83,43034345472,N/A
34,AMT,272.19,123959140352,N/A
35,AWK,155.64,28254574592,N/A
36,AMP,269.06,30105122816,N/A
37,ABC,141.31,29411272704,N/A
38,AME,126.25,29204781056,N/A
39,AMGN,246.25,138704240640,N/A
40,APH,77.54,46371094528,N/A
41,ADI,177.25,93114925056,N/A
42,ANSS,285.48,24908988416,N/A
43,AON,287.53,63352057856,N/A
44,APA,31.75,,N/A
45,AAPL,165.35,2712798232576,N/A
46,AMAT,109.62,97398800384,N/A
47,APTV,98.41,26621282304,N/A
48,ANET,126.68,38928764928,N/A
49,AJG,178.51,37001195520,N/A
50,AIZ,155.29,8847910912,N/A
51,T,18.35,131037356032,N/A
52,ATO,113.89,15113772032,N/A
53,ADSK,221.7,48768012288,N/A
54,AZO,2195.19,45296427008,N/A
55,AVB,204.91,28634327040,N/A
56,AVY,193.29,16003561472,N/A
57,BKR,24.06,20931430400,N/A
58,BALL,56.36,,N/A
59,BAC,33.96,277931360256,N/A
60,BBWI,37.36,9628531712,N/A
61,BAX,58.59,29335603200,N/A
62,BDX,254.23,72466481152,N/A
63,WRB,61.83,10921651200,N/A
64,BRK.B,0,,N/A
65,BBY,76.38,18374047744,N/A
66,BIO,539.65,16138773504,N/A
67,TECH,382.97,15048921088,N/A
68,BIIB,218.2,32052049920,N/A
69,BLK,695.93,105723592704,N/A
70,BK,43.5,35923214336,N/A
71,BA,165.04,96993837056,N/A
72,BKNG,1924.97,79038881792,N/A
73,BWA,37.87,9080127488,N/A
74,BXP,86.59,13525963776,N/A
75,BSX,40.94,58339086336,N/A
76,BMY,72.12,160080445440,N/A
77,AVGO,551.44,227675226112,N/A
78,BR,167.85,19567618048,N/A
79,BRO,64.9,18329513984,N/A
80,BF.B,0,,N/A
81,CHRW,109.74,14264772608,N/A
82,CDNS,186.55,51700654080,N/A
83,CZR,47.67,10190606336,N/A
84,CPT,137.28,14029603840,N/A
85,CPB,49.42,14911890432,N/A
86,COF,106.33,45256388608,N/A
87,CAH,61.51,17332779008,N/A
88,KMX,99.17,16052845568,N/A
89,CCL,9.82,11447762944,N/A
90,CARR,41.88,36292583424,N/A
91,CTLT,110.56,18926544896,N/A
92,CAT,185.39,100285243392,N/A
93,CBOE,120.48,12848349184,N/A
94,CBRE,83.97,28101902336,N/A
95,CDW,179.69,24388067328,N/A
96,CE,110.85,12068349952,N/A
97,CNC,93.05,54294953984,N/A
98,CNP,31.47,19790411776,N/A
99,CDAY,65.04,9842569216,N/A
100,CF,100.05,21458225152,N/A
101,CRL,223.38,11272737792,N/A
102,SCHW,69.31,131037478912,N/A
103,CHTR,462.98,83008151552,N/A
104,CVX,153.64,296170291200,N/A
105,CMG,1600.78,45038587904,N/A
106,CB,185.32,79824920576,N/A
107,CHD,87,21749999616,N/A
108,CI,281.77,93386465280,N/A
109,CINF,97.26,15672572928,N/A
110,CTAS,423.61,43913105408,N/A
111,CSCO,45.01,189834625024,N/A
112,C,51.66,102507388928,N/A
113,CFG,37.21,15858902016,N/A
114,CTXS,102.5,12784107520,N/A
115,CLX,138.99,17076728832,N/A
116,CME,202.15,72652505088,N/A
117,CMS,67.61,19586414592,N/A
118,KO,63.38,273764843520,N/A
119,CTSH,68.72,36513615872,N/A
120,CL,80.43,67790348288,N/A
121,CMCSA,38.27,174852571136,N/A
122,CMA,78.19,10254540800,N/A
123,CAG,34.43,16515726336,N/A
124,COP,92.85,122464509952,N/A
125,ED,97.19,34380865536,N/A
126,STZ,244.36,45817257984,N/A
127,CEG,74.3,,N/A
128,COO,330.91,16349601792,N/A
129,CPRT,129.22,30649434112,N/A
130,GLW,35.8,30552006656,N/A
131,CTVA,57.9,42203832320,N/A
132,COST,540.67,239750365184,N/A
133,CTRA,27.93,22723233792,N/A
134,CCI,178.4,77105012736,N/A
135,CSX,33.11,73437315072,N/A
136,CMI,220.02,31469901824,N/A
137,CVS,102.26,134989340672,N/A
138,DHI,76.35,27194419200,N/A
139,DHR,290,207227338752,N/A
140,DRI,123.58,16038830080,N/A
141,DVA,85.68,8730791936,N/A
142,DE,343.31,105535897600,N/A
143,DAL,32.94,21082060800,N/A
144,XRAY,36.84,8053481984,N/A
145,DVN,56.65,38352052224,N/A
